query,NOGs,COG_category,HMM_description
WP_004040803.1,11X1C@NOG,S,Calcium binding
WP_004040823.1,COG1741@NOG,S,Pirin domain protein
WP_004040944.1,COG0642@NOG COG2203@NOG,T,His Kinase A (phospho-acceptor) domain
WP_004040951.1,COG0449@NOG,M,"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)"
WP_004040952.1,COG1208@NOG,M,Nucleotidyl transferase
WP_004041108.1,COG0160@NOG,E,Aminotransferase
WP_004041109.1,COG0076@NOG,E,Pyridoxal-dependent decarboxylase conserved domain
WP_004041110.1,COG4264@NOG,Q,IucA / IucC family
WP_004041111.1,COG1670@NOG,J,"Siderophore biosynthesis protein, conserved region"
WP_004041112.1,COG3486@NOG,Q,Inherit from COG: L-lysine 6-monooxygenase (NADPH)
WP_004041113.1,COG4264@NOG,Q,IucA / IucC family
WP_004041121.1,0XQ0Q@NOG,G,Extracellular solute-binding protein family 1
WP_004041153.1,COG2101@NOG,K,General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)
WP_004041154.1,COG0819@NOG,K,transcriptional activator TenA
WP_004041155.1,COG0819@NOG,K,transcriptional
WP_004041156.1,0YD2X@NOG,E,symporter
WP_004041390.1,COG1173@NOG,P,"abc transporter, permease"
WP_004041391.1,COG0601@NOG,P,"Binding-protein-dependent transport systems, inner membrane component"
WP_004041399.1,COG0500@NOG,Q,FkbM family methyltransferase
WP_004041405.1,COG1209@NOG,M,glucose-1-phosphate thymidylyltransferase
WP_004041509.1,0YYDE@NOG,NA,NA
WP_004041510.1,COG0582@NOG,L,Integrase
WP_004041808.1,COG3413@NOG,K,Bacterio-opsin activator HTH domain protein
WP_004041809.1,0Z77K@NOG,T,Inherit from NOG: Histidine kinase
WP_004041894.1,COG1349@NOG,K,Inherit from arCOG: Phage PhiH1 repressor protein
WP_004041903.1,COG1873@NOG,S,PRC-barrel domain protein
WP_004042036.1,COG2132@NOG,Q,Multicopper oxidase type
WP_004042068.1,0ZG8J@NOG,T,Inherit from NOG: response regulator
WP_004042080.1,COG0047@NOG,F,Phosphoribosylformylglycinamidine synthase I
WP_004042081.1,COG1828@NOG,F,"Phosphoribosylformylglycinamidine synthase, PurS"
WP_004042082.1,COG2610@NOG,G,gluconate permease
WP_004042149.1,111T3@NOG,NA,NA
WP_004042153.1,12987@NOG,NA,NA
WP_004042177.1,111IT@NOG,NA,NA
WP_004042185.1,COG1474@NOG,L,orc1 cdc6 family replication initiation protein
WP_004042280.1,0ZRVB@NOG,S,Inherit from arCOG: Cell surface glycoprotein
WP_004042365.1,COG0512@NOG,E,anthranilate synthase
WP_004042367.1,COG0147@NOG,E,anthranilate synthase component I
WP_004042369.1,COG0135@NOG,E,N-(5'phosphoribosyl)anthranilate isomerase
WP_004042371.1,COG0547@NOG,E,anthranilate phosphoribosyltransferase (EC 2.4.2.18)
WP_004042830.1,10ZQE@NOG,NA,NA
WP_004043092.1,COG3938@NOG,E,proline racemase
WP_004043093.1,0Y70W@NOG,NA,NA
WP_004043228.1,COG1476@NOG,K,"Transcriptional regulator, XRE family"
WP_004043401.1,0YSJA@NOG,NA,NA
WP_004043402.1,COG0640@NOG,K,Transcription regulator
WP_004043457.1,COG1405@NOG,K,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)
WP_004043458.1,COG1525@NOG,L,nuclease-like protein
WP_004043512.1,COG1349@NOG,K,PhiH1 repressor-like
WP_004043513.1,COG0582@NOG,L,Integrase
WP_004043530.1,121J4@NOG,S,DoxX family
WP_004043531.1,0Z3X3@NOG,K,Inherit from arCOG: Transcriptional regulator
WP_004043609.1,COG0500@NOG,Q,Inherit from eurNOG: Methyltransferase domain
WP_004043677.1,COG1757@NOG,C,Na H antiporter
WP_004043678.1,0XSMX@NOG,S,Aerotolerance regulator N-terminal
WP_004043679.1,0ZVCK@NOG,S,von Willebrand factor type A
