locus.tag,query,species,overlap.region,COG_category,NOGs,HMM_description
VNG_RS00060,WP_010901984.1,hbt,hbt&hvol&hmed,Q,COG0500@NOG,Inherit from COG: Methyltransferase
VNG_RS00065,WP_010902112.1,hbt,hbt&hvol&hmed,L,COG0582@NOG,Phage integrase family
VNG_RS13185,WP_010902508.1,hbt,hbt&hvol&hmed,K,COG1405@NOG,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)
VNG_RS00135,WP_010902759.1,hbt,hbt&hvol&hmed,Q,COG0500@NOG,"methyltransferase, fkbm family"
VNG_RS00140,WP_010902763.1,hbt,hbt&hvol&hmed,Q,COG0500@NOG,FkbM family methyltransferase
VNG_RS00145,WP_010903200.1,hbt,hbt&hvol&hmed,E,COG0147@NOG,anthranilate synthase component I
VNG_RS00165,WP_010903201.1,hbt,hbt&hvol&hmed,E,COG0135@NOG,N-(5'phosphoribosyl)anthranilate isomerase
VNG_RS00175,WP_010903202.1,hbt,hbt&hvol&hmed,E,COG0547@NOG,anthranilate phosphoribosyltransferase (EC 2.4.2.18)
VNG_RS13205,WP_010904037.1,hbt,hbt&hvol&hmed,L,COG1474@NOG,orc1 cdc6 family replication initiation protein
VNG_RS13210,WP_010904146.1,hbt,hbt&hvol&hmed,T,COG1520@NOG,Pyrrolo-quinoline quinone
VNG_RS00195,WP_010904194.1,hbt,hbt&hvol&hmed,L,COG1474@NOG,Involved in regulation of DNA replication (By similarity)
VNG_RS00210,WP_012289079.1,hbt,hbt&hvol&hmed,L,COG1474@NOG,Involved in regulation of DNA replication (By similarity)
VNG_RS00235,WP_012289619.1,hbt,hbt&hvol&hmed,L,COG1474@NOG,Involved in regulation of DNA replication (By similarity)
VNG_RS00240,WP_010901992.1,hbt,hbt&hvol,NA,0YCQD@NOG,NA
VNG_RS00415,WP_010902699.1,hbt,hbt&hvol,NA,111T3@NOG,NA
VNG_RS00420,WP_010902719.1,hbt,hbt&hvol,N,COG1681@NOG,Flagellin
VNG_RS00425,WP_010903157.1,hbt,hbt&hvol,S,COG1479@NOG,Protein of unknown function DUF262
VNG_RS00430,WP_010903199.1,hbt,hbt&hvol,E,COG0512@NOG,anthranilate synthase
VNG_RS00525,WP_010903452.1,hbt,hbt&hvol,K,COG1349@NOG,Inherit from arCOG: Phage PhiH1 repressor protein
VNG_RS00745,WP_010903541.1,hbt,hbt&hvol,K,COG1522@NOG,AsnC family transcriptional regulator
VNG_RS00750,WP_010904064.1,hbt,hbt&hvol,T,COG0589@NOG,UspA domain protein
VNG_RS00790,WP_010904158.1,hbt,hbt&hvol,C,COG1757@NOG,Na H antiporter
VNG_RS00795,WP_012289235.1,hbt,hbt&hvol,NA,0YYDE@NOG,NA
VNG_RS00835,WP_012289608.1,hbt,hbt&hvol,L,11UJV@NOG,Transposase (ISH5)
VNG_RS00870,WP_010902106.1,hbt,hbt&hmed,NA,0YSDR@NOG,NA
VNG_RS13265,WP_010902113.1,hbt,hbt&hmed,S,0YQVI@NOG,Pfam:TRF2
